# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!

PopC,https://mysupertv.pendy.dpdns.org/PopC/popc.m3u8
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
TVB J1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
TVB J1,https://cdn3.163189.xyz/live/j1/stream.m3u8
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://cdn3.163189.xyz/live/j1/stream.m3u8
TVB J2,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
TVB J2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8$!
广东珠江,http://183.237.95.108:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0$!
广东4K超高清,http://183.11.239.36:808/hls/9/index.m3u8$!
广东经济科教,https://pili-live-hls.kingsmedia.cn/metoo-live/c40c8d3679704d729f3254ca2b98abfe.m3u8$!
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8$!
广州影视,http://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=1bd3a1082ab5b89f48c1bff9a3760da4&txTime=18d57929bd4$!
广州影视,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8$!
广州南国都市,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4$!
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$!
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$!
广州法治,http://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=3e84cd8eba844b5dc2150612295c7a52&txTime=18d578f4493$!
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv$!
珠海综合,http://publive.zhrct.com/zhtv1/zhtv1.m3u8?auth_key=1697183630-0-0-237458bc86c8bc697f92b9525a090953$!
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8$!
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8$!
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8$!
河源综合,https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8?_upt=f767206b1671099007$!
河源综合,http://tmpstream.hyrtv.cn/xwzh/playlist.m3u8?_upt=407e01941606112151$!
河源公共,http://tmpstream.hyrtv.cn/hygg/playlist.m3u8?_upt=c9befc281606112199$!
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8$!
湛江综合,http://gbtv-hls-wjq.zjwtv.com/zjtv/zhpd.m3u8$!
湛江公共,http://gbtv-hls-wjq.zjwtv.com/zjtv/ggpd.m3u8$!
