# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。

﻿CCTV-1HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-1HD/7999000/7999000.m3u8
CCTV-2HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-2HD/7999000/7999000.m3u8
CCTV-3HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-3HD/7999000/7999000.m3u8
CCTV-4HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-4HD/7999000/7999000.m3u8
CCTV-5HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-5HD/7999000/7999000.m3u8
CCTV-5+HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-5TYSSHD/7999000/7999000.m3u8
CCTV-6HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-6HD/7999000/7999000.m3u8
CCTV-7HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-7HD/7999000/7999000.m3u8
CCTV-8HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-8HD/7999000/7999000.m3u8
CCTV-9HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-9HD/7999000/7999000.m3u8
CCTV-10HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-10HD/7999000/7999000.m3u8
CCTV-11HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-11HD/7999000/7999000.m3u8
CCTV-12HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-12HD/7999000/7999000.m3u8
CCTV-13HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-13HD/7999000/7999000.m3u8
CCTV-14HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-14HD/7999000/7999000.m3u8
CCTV-15HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-15HD/7999000/7999000.m3u8
CCTV-16HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-16HD/7999000/7999000.m3u8
CCTV-17HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-17HD/7999000/7999000.m3u8
CGTN(HD),http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTN-HD/7999000/7999000.m3u8
CGTV法语HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTNFY-HD/7999000/7999000.m3u8
CGTV西班牙语HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTNXBYY-HD/7999000/7999000.m3u8
CGTV俄语HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTNEY-HD/7999000/7999000.m3u8
CGTV阿拉伯语HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTNALBY-HD/7999000/7999000.m3u8

广东卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GDWS-HD/7999000/7999000.m3u8
浙江卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-ZJWS-HD/7999000/7999000.m3u8
江苏卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JSWS-HD/7999000/7999000.m3u8
河北卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBWS-HD/7999000/7999000.m3u8
北京卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-BJWS-HD/7999000/7999000.m3u8
东方卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DFWS-HD/7999000/7999000.m3u8
天津卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-TJWS-HD/7999000/7999000.m3u8
山东卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SDWS-HD/7999000/7999000.m3u8
河南卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HNWS-HD/7999000/7999000.m3u8
安徽卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-AHWS-HD/7999000/7999000.m3u8
东南卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DNWS-HD/7999000/7999000.m3u8
深圳卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SZWS-HD/7999000/7999000.m3u8
湖南卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HUNWS-HD/7999000/7999000.m3u8
湖北卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HBWS-HD/7999000/7999000.m3u8
贵州卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GZWS-HD/7999000/7999000.m3u8
四川卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SCWS-HD/7999000/7999000.m3u8
辽宁卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-LNWS-HD/7999000/7999000.m3u8
吉林卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JLWS-HD/7999000/7999000.m3u8
黑龙江卫视HD,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HLJWS-HD/7999000/7999000.m3u8
甘肃卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GSWS-SD/7999000/7999000.m3u8
青海卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-QHWS-SD/7999000/7999000.m3u8
