央视频道,#genre#
﻿CCTV-1,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-1HD/7999000/7999000.m3u8
CCTV-2,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-2HD/7999000/7999000.m3u8
CCTV-3,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-3HD/7999000/7999000.m3u8
CCTV-4,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-4HD/7999000/7999000.m3u8
CCTV-5,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-5HD/7999000/7999000.m3u8
CCTV-5+,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-5TYSSHD/7999000/7999000.m3u8
CCTV-6,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-6HD/7999000/7999000.m3u8
CCTV-7,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-7HD/7999000/7999000.m3u8
CCTV-8,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-8HD/7999000/7999000.m3u8
CCTV-9,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-9HD/7999000/7999000.m3u8
CCTV-10,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-10HD/7999000/7999000.m3u8
CCTV-11,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-11HD/7999000/7999000.m3u8
CCTV-12,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-12HD/7999000/7999000.m3u8
CCTV-13,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-13HD/7999000/7999000.m3u8
CCTV-14,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-14HD/7999000/7999000.m3u8
CCTV-15,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-15HD/7999000/7999000.m3u8
CCTV-16,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-16HD/7999000/7999000.m3u8
CCTV-17,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CCTV-17HD/7999000/7999000.m3u8
CGTN,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTN-HD/7999000/7999000.m3u8
CGTN法语,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTNFY-HD/7999000/7999000.m3u8
CGTN西班牙语,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTNXBYY-HD/7999000/7999000.m3u8
CGTN俄语,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTNEY-HD/7999000/7999000.m3u8
CGTN阿拉伯语,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CGTNALBY-HD/7999000/7999000.m3u8
卫视频道,#genre#
广东卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GDWS-HD/7999000/7999000.m3u8
浙江卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-ZJWS-HD/7999000/7999000.m3u8
江苏卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JSWS-HD/7999000/7999000.m3u8
河北卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBWS-HD/7999000/7999000.m3u8
北京卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-BJWS-HD/7999000/7999000.m3u8
东方卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DFWS-HD/7999000/7999000.m3u8
天津卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-TJWS-HD/7999000/7999000.m3u8
山东卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SDWS-HD/7999000/7999000.m3u8
河南卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HNWS-HD/7999000/7999000.m3u8
安徽卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-AHWS-HD/7999000/7999000.m3u8
东南卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DNWS-HD/7999000/7999000.m3u8
深圳卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SZWS-HD/7999000/7999000.m3u8
湖南卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HUNWS-HD/7999000/7999000.m3u8
湖北卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HBWS-HD/7999000/7999000.m3u8
贵州卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GZWS-HD/7999000/7999000.m3u8
四川卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SCWS-HD/7999000/7999000.m3u8
辽宁卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-LNWS-HD/7999000/7999000.m3u8
