港澳海外,#genre#
PopC,http://iptv.4666888.xyz/iptv.php?id=20118
PopC,http://bxtv.3a.ink/api.php?id=popc
Now星影,http://iptv.4666888.xyz/iptv.php?id=20088
Now星影,http://iptv.4666888.xyz/iptv.php?id=20086
Now爆谷,http://iptv.4666888.xyz/iptv.php?id=20089
Now爆谷,http://iptv.4666888.xyz/iptv.php?id=20087
Now华剧,http://iptv.4666888.xyz/iptv.php?id=20091
Now新闻,http://iptv.4666888.xyz/iptv.php?id=20082
Now新闻,http://bxtv.3a.ink/api.php?id=now
Now财经,http://iptv.4666888.xyz/iptv.php?id=20085
翡翠台,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
明珠台,http://o12.1678520.xyz/hls/mzt/playlist.m3u8
明珠台,http://r.jdshipin.com/ZQ4kN
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
华丽翡翠台,http://r.jdshipin.com/thuYX
无线华丽台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻,http://r.jdshipin.com/CkuBd
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
无线新闻,http://php.jdshipin.com/smt.php?id=inews_twn
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
娱乐新闻,http://php.jdshipin.com/smt.php?id=Tvbentertainment
娱乐新闻,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
千禧经典,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
TVB星河,http://r.jdshipin.com/Voac4
TVB功夫,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB J2,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB J2,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
TVB J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
TVB Plus,http://r.jdshipin.com/ndGgS
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
RTHK33,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
天映CM+,http://php.jdshipin.com/TVOD/iptv.php?id=aod
天映CM+,http://php.jdshipin.com:8880/smt.php?id=Aodhd
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
美亚电影台,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
TVBS亚洲,http://php.jdshipin.com/smt.php?id=Xinhe
TVBS亚洲,http://php.jdshipin.com:8880/smt.php?id=Xinhe
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
Hoy77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2$粤语
